Age,Income,Education,Employment Status,Happiness Score,Hours of Physical Activity
26,64288.801171796134,Bachelor,Employed,6.403633267969196,14
66,45089.36857924211,Bachelor,Retired,4.7297505534075315,15
20,43134.526208009156,Bachelor,Unemployed,9.609209601377119,12
29,55269.890264297865,Bachelor,Student,2.90394177291491,15
27,44608.41150636335,High School,Employed,4.700998437674185,19
31,42282.52651202527,Master,Unemployed,5.117217726687683,9
37,35133.27999373023,PhD,Student,9.740882637578013,18
32,31440.24270075727,PhD,Retired,1.8836115888279705,14
65,40062.657068394736,Master,Retired,4.459063151053345,6
27,61356.53874339946,High School,Retired,5.997246527383623,3
24,31102.728161796946,PhD,Student,6.474014357575436,16
36,40010.21086312503,High School,Retired,7.993428775030326,4
